Region,Country,Category,Fact
몬순아시아,중국,자연환경,"서고동저 지형, 주요 하천(창장강·황허강)"
몬순아시아,중국,산업·경제,"'세계의 공장', 제철·자동차 세계 1위, 첨단 산업 단지(중관춘, 푸둥), 농업(세계 1위 밀·쌀 생산국)"
몬순아시아,중국,전통 생활,"가옥(사합원), 의복(치파오), 소수 민족(위구르족·티베트족)"
몬순아시아,중국,갈등,"소수민족 분리 독립 갈등, 센카쿠·난사 군도 분쟁"
몬순아시아,미얀마,특징,"불교 국가"
몬순아시아,미얀마,갈등,"로힝야족(이슬람교)과의 갈등"
몬순아시아,일본,자연환경,"환태평양 조산대(지진·화산 활발), 다설 지역(삿포로 눈축제: 세계 3대 축제)"
몬순아시아,일본,농업,"벼농사 발달, 전통음식(스시)"
몬순아시아,일본,산업·경제,"가공무역 발달, 자동차·전자 산업, 첨단 제조업(로봇, 정밀 기계 등)"
몬순아시아,일본,사회·문화,"합장가옥(갓쇼), 전통의복(기모노)"
몬순아시아,일본,갈등,"쿠릴열도, 센카쿠열도 분쟁"
몬순아시아,몽골,자연환경,"국토의 대부분이 건조 기후"
몬순아시아,몽골,전통 생활,"전통 가옥(게르), 유목 생활, 허르헝(양고기 요리)"
몬순아시아,필리핀,자연환경,"환태평양 조산대(지진·화산 활발)"
몬순아시아,필리핀,사회·문화,"스페인 식민지 영향으로 크리스트교 신자 다수"
몬순아시아,필리핀,갈등,"모로족 분리 독립 운동(민다나오섬, 이슬람교)"
몬순아시아,필리핀,전통 문화,"전통 의복(바롱), 전통 음식(아도보, 레촌 등)"
몬순아시아,베트남,자연환경,"메콩강 삼각주 곡창 지대, 할롱베이(유네스코 등재, 카르스트 지형)"
몬순아시아,베트남,농업·자원,"세계 2위 커피 생산국, 쌀 수출 강국"
몬순아시아,베트남,산업·경제,"최근 공업 성장, 외국인 투자 증가"
몬순아시아,베트남,사회·문화,"전통 음식(퍼: 쌀국수, 반미), 전통 의복(아오자이)"
몬순아시아,베트남,갈등,"남중국해 영유권 갈등"
몬순아시아,타이(태국),자연환경,"짜오프라야강 유역, 메콩강 접경"
몬순아시아,타이(태국),농업·자원,"벼농사 중심, 쌀작 기원 문화(송크란 축제)"
몬순아시아,타이(태국),산업·경제,"관광산업 발달"
몬순아시아,타이(태국),사회·문화,"전통 음식(카오팟, 팟타이, 톰 얌꿍), 불교 신자 다수"
몬순아시아,인도네시아,인구특징,"세계 인구 4위, 세계 최대 이슬람 인구"
몬순아시아,인도네시아,자연환경,"신기 조산대(지진, 화산 활발), 계단식 논 발달"
몬순아시아,인도네시아,농업·자원,"세계 커피 3위 생산국, 플랜테이션 농업 발달(팜유, 천연고무)"
몬순아시아,인도네시아,산업·경제,"천연가스·석유, 석탄 수출, 노동집약적 공업 발달"
몬순아시아,인도네시아,사회·문화,"전통 음식(나시고렝), 전통 가옥(루마 아닷: 고상가옥), 동남아시아 국가 연합(ASEAN)의 본부 위치"
몬순아시아,인도,자연환경,"히말라야 산맥, 데칸고원, 갠지스강 유역 충적평야(벼농사)"
몬순아시아,인도,농업,"여름 몬순으로 벼농사 발달, 데칸고원(목화), 북동부(다르질링 지역 차 생산)"
몬순아시아,인도,산업·경제,"뭄바이(영화산업: 발리우드), 첨단 산업(방갈로르 '인도의 실리콘밸리')"
몬순아시아,인도,사회·문화,"힌두교 중심, 전통의복(사리와 도티)"
몬순아시아,인도,갈등,"카슈미르 분쟁(vs 파키스탄)"
몬순아시아,네팔,특징,"인도와 함께 힌두교 국가"
몬순아시아,파키스탄,특징,"이슬람 국가, 세계 인구 수 5위"
몬순아시아,방글라데시,특징,"이슬람 국가, 갠지스 강 하류에 위치"
몬순아시아,스리랑카,자연환경,"인도양 섬나라, 차 플랜테이션(실론 차)"
몬순아시아,스리랑카,갈등,"신할리즈족(불교) vs 타밀족(힌두교)"
오세아니아,오스트레일리아,자원,"자원 부국, 석탄·철광석·보크사이트 등이 풍부하여 광업 발달"
오세아니아,오스트레일리아,농업,"기업적 농목업(스테이션) -> 양모, 유제품, 소고기 수출"
오세아니아,오스트레일리아,원주민,"애버리지니와 유럽계 갈등"
몬순아시아,말레이시아,자연환경,"말라카 해협 국제 해상 요충지"
몬순아시아,말레이시아,산업·경제,"석유 및 천연가스, 주석, 팜유 등 수출"
몬순아시아,말레이시아,사회·문화,"이슬람교 비율이 가장 높음. 그 다음 불교"
몬순아시아,싱가포르,특징,"1인당 GDP 아시아 1위, 도시 국가, 교통·무역 요충지(인도양과 태평양 사이)"
